username,removal
Andries-Pretorius,karma
PirateSKB,karma
Interesting-Cap3040,karma
PMme_ur_tiny_tits,karma
Disastrous_Cobbler13,karma
AadamAtomic,suspended
rqnyc,karma
choppathekid,karma
Prize-Pollution-4563,karma
novsush,suspended
artbysmitty,karma
Security_Raven,banned
FlashyTimeTraveler,karma
shreyaskg,banned
FXStreetTeam,karma
hydropwrd,banned
