username,removal
Murky-Statistician45,age
Expensive_Mess_7954,age
donut-bot,age
geforcei7,karma
OgCone,age
filthybusstop,deleted
for3ign21,deleted
Omega_buttfuselage,karma
YourMomIsTooHeavy,deleted
ProfBullishChad,karma
Nicks_WRX,suspended
ArstotzkaHero,age
maurinet79,suspended
