username,removal
Fearless_Expression4,karma
Public-Newspaper6975,karma
JobAffectionate7470,karma
Downtown_Orange_3717,karma
EntertainerOne9137,karma
ryker_69,karma
Pale_Coyote_2745,karma
SatoshiNakamoto21,karma
Ramen_champloo,karma
clRCLE,karma
BloodSilvers,karma
OkSiriGoogleSucks,karma
DishEcstatic9710,karma
alexstaysup,karma
mrtalha786,karma
supergeometry,karma
techguy_weegee,karma
Think_Kale5491,karma
HealthyStatement8544,karma
Witty-Project3411,karma
Fv85,karma
mlzx123,deleted
Gubbie99,karma
SicSemperTyranisMort,karma
FabulousRazzmatazz,karma
Vedaykin,karma
Feisty-Kitchen2760,karma
Chad_Vitalik_420,banned
Either_Sign651,karma
