username,removal
Lokiee0077,banned
Easy-Soup140,banned
DishEcstatic9710,karma
blitched,deleted
ETHTraderNews,karma
TheRock_97,banned
deathtolucky,suspended
Fv85,karma
Witty-Project3411,karma
BloodSilvers,karma
sufkas,karma
TommyBleau,karma
jaskidd05,karma
Fearless_Expression4,karma
Akulav1,karma
GrainMiller,karma
RBullworth,karma
Gubbie99,karma
MrBrew,karma
KingBryandon,karma
Feisty-Kitchen2760,karma
Brian8301,karma
olumodi0,karma
darrow77,karma
gumbomike,karma
TheCryptoEcon_,karma
pequenoRosa,karma
Infernoswelt,karma
bedtimee,karma
Early-Record2945,karma
Agent_4--7,banned
Elon_mkus,banned
Entire_Tree5894,banned
Budget-Buffalo-6804,karma
kaleis007,banned
RealLebronJames19,karma
ETH49f,banned
DeliciousNectarine8,banned
PhysicsObjective6875,banned
conceptionManager,karma
candidconnector,karma
Lavafish2,karma
Capable_Ad5175,karma
Sebzxc,karma
OwnSession9,karma
Hollymolly2009,karma
Sea-Long-6,karma
bitmediabuzz,deleted
Zealousidealbeep,karma
Lanky-Ad-1921,karma
Perfect_Swing_6158,karma
51ury,karma
pihip2,banned
No-Contribution942,karma
oonwermax,karma
Negr_S,karma
SunShine-Boi,karma
u-bot-00,karma
AdApprehensive2843,karma
MadsGrenaa,karma
thu2812,karma
tislam55,karma
Glittering_Item_3818,karma
moldyballs82,banned
Anti3verything,age
