username,removal
Lokiee0077,banned
buyethto10k,banned
Easy-Soup140,banned
Agent_4--7,banned
Entire_Tree5894,banned
Elon_mkus,banned
Past-Association9320,deleted
Odd_Mulberry_9813,banned
TheRock_97,banned
Sunny-----,karma
XpensiveLove,suspended
kaleis007,banned
UranusisGolden,suspended
altrullion98,karma
OkSiriGoogleSucks,karma
SwingContent6806,banned
deathtolucky,suspended
FuckingBallsDeep,karma
JkrackM,deleted
patrtech,karma
TastyStorage809,karma
Infernoswelt,karma
Guyserbun007,karma
Gubbie99,karma
-baroud95-,karma
Sucklemymooseknuckle,karma
RBullworth,karma
Junior_Long_257,banned
Smallguyfyi,karma
clRCLE,karma
teljaninaellinsar,karma
mlzx0,suspended
ryker_69,karma
TommyBleau,karma
Budget-Buffalo-6804,karma
ETH49f,banned
Lillico99,karma
xtokenchad,karma
Wide_Astronaut_9441,karma
sarahhenicaxoxo,karma
Nashifa,karma
Davina4u,suspended
zachalex67,karma
SoftlyFried,deleted
Hollymolly2009,karma
tuesdaycohen,age
Capable_Ad5175,karma
geeseareweapons,karma
Sopel93,karma
FreeSpeechFreePeople,karma
PhysicsObjective6875,banned
