username,removal
Buzzalu,age
Fomo-,deleted
PRYCDaddy,suspended
KlutzyProvidence,suspended
Fortnite2gg,suspended
thecryptopile,deleted
BrokeHaze90,suspended
Muted-Scar-9711,age
Chaitoshi,suspended
UnitedCrypt,age
AppropriateLawer,suspended
_stoned_chipmunk_,suspended
Fantastic-Offer-9129,suspended
DJsalian,banned
OpticCrypto,age
BareFinsk,suspended
Embarrassed-Egg-545,suspended
TiredExplorer420,age
comfyggs,suspended
Mother-Werewolf185,banned
kulaworld3d,age
PedroLascap,age
QuoteUpstairs9999,suspended
SHADOWFIEND7,karma
True_Sigma_1,deleted
NonFungibleFace,karma
Superb_Cellist_2635,karma
tervelix,karma
JollyMedium,karma
PierluigiPeppino,suspended
Moons2Matic,suspended
RafaelNobre,suspended
hollowayzz,karma
Soccerdood42,karma
NobelStudios,suspended
Mac-Beatnik,karma
Claude1us,karma
GoldOcean69,age
Friendly-Airline2426,banned
Excellent_Homework_7,karma
