username,removal
PirateSKB,karma
GoldenMastodon,karma
busmobbing,suspended
Security_Raven,karma
002_timmy,age
Early-Record2945,karma
xica21221,karma
GreedVault,karma
MrThisThat,karma
FerhatDFI,karma
hewhowasbanned,karma
ScreakyFlamenco526,karma
Organic_Bluejay_8400,karma
