username,removal
LivingFondant1419,deleted
Wonderful_Bad6531,banned
ProfBullishChad,karma
tentazoc,deleted
Mrwiowijo,age
Monster_Chief17,suspended
Ashamed-Salary5692,deleted
for3ign21,deleted
Omega_buttfuselage,karma
TokenMining,karma
Professional-Monk811,age
DMugre,suspended
Pandora_Key,deleted
-0-O-,suspended
pun_intended_00,karma
BeneficialAngle4309,deleted
YourMomIsTooHeavy,deleted
Seizon_Kunren,suspended
musthaf3star,age
