username,removal
lookwhatumademedoo,age
PirateSKB,karma
NSFWCryptoPosting,karma
Obvious-Ask-5747,suspended
jzolg,age
Zonekidd402,karma
Disastrous_Cobbler13,karma
Gubbie99,karma
qsandc,karma
Affectionate_Cow3076,karma
soldier9945,karma
