username,blockchain_address,contributor_type,points
u/fishcalledbob,0xE52d66C0c9794862a9c7bc53DdFd2F3112607Fab,contributor,176723
u/Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,contributor,107746
u/Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,contributor,87721
u/Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,contributor,86844
u/MrThisThat,0xFC601d229a96a4994034b701275dac78803a70C1,contributor,79023
u/LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,contributor,50502
u/Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,contributor,50299
u/whodontloveboobs,0x133299c1c5bc0C64eb1365444031fDa1161E0F58,contributor,47602
u/Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,contributor,47400
u/Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,contributor,46861
u/Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,contributor,43422
u/illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,contributor,40927
u/Malixshak,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f,contributor,40388
u/o_LUCIFER_o,0x551ff9235da502c518a353E1155CE1560A0D2005,contributor,38230
u/coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,contributor,34319
u/Icy-Profile-1655,0xc06479D09b3DE98Df54c77150075c5df38996138,contributor,32364
u/Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,contributor,32094
u/greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,contributor,30139
u/cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,contributor,28925
u/ethereumshield,0x168a0997dbD0c93627edf7E3Ce0e0d4b31fBB1C1,contributor,24205
u/Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,contributor,23936
u/Mtballer09,0x7d42f7CeB9D64B753D08b61fAc8478F53b16ee82,contributor,23127
u/comfyggs,0xe4C120ca4D1245292918395426E9C66Fb12e10D0,contributor,22722
u/eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,contributor,22655
u/Wonderful_Bad6531,0x823203809D31109e99F27092dE19F60a22DF61C5,contributor,19958
u/Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,contributor,19081
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,moderator,16830
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,moderator,16830
u/rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,moderator,16830
u/kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,moderator,16830
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,moderator,16830
u/nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,moderator,16830
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,moderator,16830
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,moderator,16830
u/carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,moderator,16830
u/Canntomas,0xa3cFCcD96Ba22A95b2D9d2ACA92539D8D95Cd313,contributor,15710
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,contributor,15642
u/brummettdane03,0x1A6641417914C3a651b394B39741DEf8E3cb41c7,contributor,15305
u/htd_23,0x015cD83C989E98e522Fd8c2eb8bd2020180C3C51,contributor,14901
u/hill_mounty,0xbcD360F79843f3B00c5165FF1A7dbB44dbb0ab32,contributor,14833
u/cryptbunks,0x8939F06ef2b75B5082767Ca6b0dAa2C0Fc1A82eE,contributor,14294
u/thecryptopile,0xFe980b1063c13d146E7BEA41Ab2fA9B98aeA3594,contributor,13957
u/LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,contributor,13282
u/wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,contributor,13215
u/Humble-Grape1012,0xe1E21819b7F2918980bB85f9F1892e835215a026,contributor,13080
u/raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,contributor,12473
u/economist_kinda,0x09e8a60Fa9a4EeeCfe2f4eC2D08ddA56307d48C9,contributor,11192
u/spacsandspacs,0xE0ae9458499f5F44F561b5DA6D0cd3355F9CE2Bf,contributor,10383
u/JackkT89,0x92ddf53Bb00796626faC3ebA2EaC7952792616cb,contributor,9709
u/RealLeoPat,0x613fF14bF204127bc672Ddc8A4480FCf5c6D9F99,contributor,8765
u/ALiteralHamSandwich,0x5f9D94CC0071aCaF471Ec711143085E0DCdf453a,contributor,8697
u/PirateSKB,0xd5aD34CeE33bEF42e47B3eE90417aC1C6779477d,contributor,7754
u/tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,contributor,7686
u/Snoo_92843,0x65Fbaa1F5c7Cc72d3166843465109Bc7df7a2597,contributor,7619
u/Security_Raven,0xFBddB66A587515789f4bF2bFA5e19FE98e980104,contributor,6270
u/flak0u,0x2236e0C655138Ab9156061cBf67A1c0e88aa28f7,contributor,6135
u/Kindly-Wolf6919,0xEca23ebdfDf663d499891a833D22956a6f65DFA2,contributor,6000
u/marv101,0x0ad1247271Dd41033124C76583B55DBB6614Dd91,contributor,5933
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,contributor,5461
u/Snowie_drop,0xfc2aBf2E25c0FDf1D4a6aF824E17CC91FFA92C89,contributor,5461
u/algebruvlar,0x6d5fcfB64F7C9b92ffcDA4998df56fac1E7eB689,contributor,5394
u/Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,contributor,5394
u/brbinsky,0xa142dfCcBf0B9186950a73531B26fd9a9D0a9633,contributor,5326
u/steamyp,0x268d91CAA7B25eC0Fe3D84bca24d5230a6aAF1d1,contributor,5056
u/ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,contributor,4989
u/Aguaskeepartdeux,0x8F8E6bb6D20fB56a6988F91E60cf8b5437CC052f,contributor,4652
u/fiddlefaddlefofum,0xBaa4aA7Ee47fA6dfDe05EBC589440Fd07E8B1135,contributor,4180
u/maharajgss,0xd4E9690805ddA690907Bcf094b8AC96db0f358C8,contributor,4112
u/RickyRichard26,0x24881e056A896311Fd8a7A03ce197e61a6334918,contributor,4045
u/Ok_Election7896,0x8DfdD8E1f2EA3f70C7a5f0a42903A8239a83d313,contributor,4045
u/FunExpression1858,0x7d982fd753a8F235f46DD2A165641A7293cAf08C,contributor,4045
u/Disastrous_Cobbler13,0x1542c2006154387b7C62Abe190a880ACB3CA0eC3,contributor,3978
u/noob_zarathustra,0x135E704E67D6B6C9Fe69C3a1e2aB1047bF07b700,contributor,3978
u/stedgyson,0xe2dAf0e33492720d5Fc29749CDfbEe46b46B27cc,contributor,3843
u/Soaring_Eagle590,0x35162A2ed27a8E2dC96471AB6Fb63e0Fd5058d46,contributor,3775
u/Savi321,0x7eA45e32a4F75F79615e1C77fA017F2ac4fE66AB,contributor,3708
u/salmaa4321,0x45849238D31FE609A34be95724AF7D792b431F79,contributor,3506
u/JVHooligan,0x7B42384a6faE59cc0262CC70fCB85E8e4bd88eDD,contributor,2966
u/ReitHodlr,0x1b036f17F5DcB000005e14773f8636b4dde76e39,contributor,2899
u/SigSalvadore,0xE469E5886A5ec668Ff1Cd761730A610939c689F3,contributor,2899
u/bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,contributor,2899
u/shreyaskg,0xF1908bDdC8bf6Df87abdde6d7F807a8d0D04B6C7,contributor,2697
u/PM_ME_YOUR_HONEY,0xB662E863aCAefDEE1C80Ef79590e1983981C3783,contributor,2697
u/PsieSyrenki,0x839E8aD6a74598765424cBd728FBDc527D68Dc86,contributor,2629
u/PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,contributor,2562
u/offgridgecko,0x2496286BDB820d40C402802F828ae265b244188A,contributor,2427
u/salty-bois,0xC29236dA2212f7589115a53FabcDeB1bfA03ddFE,contributor,2359
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,contributor,2292
u/deluded_soul,0xB04d7EFfdEDCcFAa405BC68C5bF73153F31e0b1b,contributor,2292
u/420weedscopes,0x4d22f2d09f9E49B014E3a1AFC4f903a25a8c17FD,contributor,2292
u/rootpl,0xEdc0321b407b165CF926BE3E77ecB6C791f731bA,contributor,2225
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,contributor,2225
u/Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,contributor,1887
u/j1mmie,0xBAe995278B1102CEb8E86d6eB87d5f0C1caa3986,contributor,1753
u/NoPressureFlips,0x7F0a92023F382e7E4740AA4270695c7fd0a371e7,contributor,1685
u/toogoodtgp,0xF15Da810c159d30A8ddCCb350d449C06f5328b40,contributor,1618
u/DCABtcEth,0xE49C748aeB724cc59d0205Bec26DAEa6C19D819D,contributor,1550
