username,blockchain_address,contributor_type,points
u/InevitableComplex895,0xe1C712Df934f18486A7605D80ca0B310340A4E52,contributor,75711
u/adamix244,0xa917f72B30A7D49fcadFeEBFAAaFC3CacC1c2105,contributor,53897
u/Crypto_Gaming_,0x58edD08A8f51ceA4c0faF176c71ab8C7c40ba1bc,contributor,50205
u/ethereumgasbot,0x7D06FC39A029cf93115d2da3Fad7e9b9fc22C9E7,contributor,48371
u/Imaginary-Adagio2231,0x99f5EeEBbc52b763C282f6d9350954C229fE458f,contributor,48237
u/bigmammoth2310,0x38F6d05EF598C76D183Cf25e296687fd74400d38,contributor,46715
u/ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,contributor,43896
u/DegreeBroad2250,0x5616C204a81aF77c24dfCd80F950439F10991951,contributor,41502
u/SxQuadro,0xC8D7219527E1fe9f938D66fF13bCbc8A5b04351e,contributor,35998
u/Buzz_Sensei,0x2b8Fcb480f1c426C276328Dc36C3543e73FC1EfD,contributor,35976
u/raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,contributor,33671
u/Soaring_Eagle590,0x35162A2ed27a8E2dC96471AB6Fb63e0Fd5058d46,contributor,31322
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,contributor,30741
u/Lggg1991,0xA113E81619e5331FCD7a2D9A1Ed888cA81f20212,contributor,27653
u/Primary_Ground_3858,0x231b8f095F7Dcb87a035719Cc64Cb69B5a650776,contributor,26848
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,contributor,26400
u/Innit4theTech,0x110Cc3E82A9C1C015227c79f9902Cc0dBd9397F9,contributor,25975
u/MoldyCheesey,0xEe22Ad1Fdf25AFcEf120DEE4C959f0F642058427,contributor,23850
u/Suthekingg,0x02801E0a37E6DbB71E1df771fe5467a23916A47D,contributor,21925
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,contributor,21277
u/naji102,0xbA191Dc80e45D512AbB45Cc08B9bF37F298Ac70d,contributor,20046
u/furysammy,0x76e419ef20Af6528845bAC54DF4D5252A9cB3Cdf,contributor,19688
u/MaximalAnarchy,0xC57d10967ecbBd40366a4db850a363870342Bc5b,contributor,19643
u/Any_Bumblebee13,0x73F151eC390D0aFF9097e2f1FEfBeB6472f1292b,contributor,19487
u/WenLambo777,0xB523Fe944aa72A7BF8919243861cdC8CBD07eE12,contributor,18905
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,moderator,18700
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,moderator,18700
u/nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,moderator,18700
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,moderator,18700
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,moderator,18700
u/rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,moderator,18700
