username,blockchain_address,contributor_type,points
u/Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,contributor,143576
u/Friendly-Airline2426,0xCA7faf6c0441049e2F449fbA86B77587987A21Fe,contributor,131394
u/Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,contributor,91839
u/Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,contributor,83079
u/Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,contributor,76236
u/illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,contributor,72267
u/Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,contributor,57211
u/Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,contributor,54474
u/MrThisThat,0xFC601d229a96a4994034b701275dac78803a70C1,contributor,50778
u/coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,contributor,49409
u/o_LUCIFER_o,0x551ff9235da502c518a353E1155CE1560A0D2005,contributor,47220
u/frogiscat,0x21Fad3D263e0fE8380C7EDbE8d9432Caf1fAd105,contributor,34628
u/Soaring_Eagle590,0x35162A2ed27a8E2dC96471AB6Fb63e0Fd5058d46,contributor,33943
u/ReitHodlr,0x1b036f17F5DcB000005e14773f8636b4dde76e39,contributor,32711
u/FattestLion,0x2dBB136D8DC31698ADA7C56E0853C255629d0cA6,contributor,32164
u/Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,contributor,30658
u/Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,contributor,27373
u/Yinyangkarma060910,0x0eAfDE159A21Ca316e1fA7f64e7755e15B9C1349,contributor,24499
u/aggressive_healer,0x7872d3a175642c25A048957a2bf7baE61E4d3CCb,contributor,21899
u/Icy-Profile-1655,0xc06479D09b3DE98Df54c77150075c5df38996138,contributor,19572
u/Kindly-Wolf6919,0xEca23ebdfDf663d499891a833D22956a6f65DFA2,contributor,18751
u/OPTIMUS-PRIME27,0x9dFc6AB6E13184bcf4bDb15C7d2f944F85C21D65,contributor,18340
u/tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,contributor,18066
u/Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,contributor,17382
u/-0-O-,0xD549A42b5dd6E06d6145ba65F99df4a0f282AdEf,contributor,16561
u/ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,contributor,16287
u/Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,contributor,15329
u/carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,moderator,15300
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,moderator,15300
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,moderator,15300
u/nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,moderator,15300
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,moderator,15300
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,moderator,15300
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,moderator,15300
u/rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,moderator,15300
u/kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,moderator,15300
u/cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,contributor,15055
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,contributor,14508
u/Malixshak,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f,contributor,14508
u/brummettdane03,0x1A6641417914C3a651b394B39741DEf8E3cb41c7,contributor,13823
u/greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,contributor,13002
u/TheNano100,0x3A11c76440655D4DdFF16a4aDAbBa15E98E89786,contributor,12865
u/Nervous_Pin9456,0x4f1ffa62297a8acE18Ec7C84e0f0f000D727A509,contributor,12728
u/eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,contributor,12592
u/ALiteralHamSandwich,0x5f9D94CC0071aCaF471Ec711143085E0DCdf453a,contributor,12455
u/Crypto_Gaming_,0x58edD08A8f51ceA4c0faF176c71ab8C7c40ba1bc,contributor,12181
u/Dr_Tacopus,0xCb064B4Db662344101CBE52ef756998336bAfd88,contributor,11223
u/RealLeoPat,0x613fF14bF204127bc672Ddc8A4480FCf5c6D9F99,contributor,10949
u/QuirkyDescription836,0xdd658E0bf65A35410893c1779461787340A8Dd2B,contributor,10675
u/Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,contributor,10402
u/comfyggs,0xe4C120ca4D1245292918395426E9C66Fb12e10D0,contributor,10402
u/economist_kinda,0x09e8a60Fa9a4EeeCfe2f4eC2D08ddA56307d48C9,contributor,9991
u/Targerian-King,0xB35b44068c106bdf0cB447B699D52100036Cb63D,contributor,9580
u/kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,contributor,9444
u/JVHooligan,0x7B42384a6faE59cc0262CC70fCB85E8e4bd88eDD,contributor,9033
u/wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,contributor,8075
u/LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,contributor,7801
u/Mrramirez44,0x803Fa6b110d013ff4D9b2d7A081Edd8e4F10C3bd,contributor,7527
u/chillinewman,0xC9BEd71F2F1760002864E7ecCAA8C3f36fFc4745,contributor,7527
u/420weedscopes,0x4d22f2d09f9E49B014E3a1AFC4f903a25a8c17FD,contributor,6432
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,contributor,6432
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,contributor,6432
u/ForeignStylists,0x8CBFDC36a9e939aA7CfA7a8d60eE9A2e7608830d,contributor,6159
u/Arafel_Electronics,0xd87c138715649Aab580069F24e3716CC56A51C43,contributor,6159
u/clean_cut89,0xA7849028c7f37B092BA2CC13365F72A2AF9f0880,contributor,6022
u/RelationshipNo8916,0x62Cc468D212bFb7364363aAdEB2adFc988b88AFB,contributor,5885
u/Ropex007,0x9ae5BD9e66a71635E8a1a9feb210AE2851d2A0ae,contributor,5748
u/cryptbunks,0x8939F06ef2b75B5082767Ca6b0dAa2C0Fc1A82eE,contributor,5611
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,contributor,5337
u/spacsandspacs,0xE0ae9458499f5F44F561b5DA6D0cd3355F9CE2Bf,contributor,5201
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,contributor,5201
u/whodontloveboobs,0x133299c1c5bc0C64eb1365444031fDa1161E0F58,contributor,5064
u/Vivarevo,0x8a945Ff7dBC68D7DEFeA264c9B838F6824671c01,contributor,5064
u/raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,contributor,5064
u/FunExpression1858,0x7d982fd753a8F235f46DD2A165641A7293cAf08C,contributor,4242
u/Most_Being_4002,0x687B1FB763b9956500F18c5611D29eFC7B9c163A,contributor,4106
u/LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,contributor,4106
u/root88,0xd12337B22b6C393edcCF8Db2bdcAA7B9839a257e,contributor,3969
u/deluded_soul,0xB04d7EFfdEDCcFAa405BC68C5bF73153F31e0b1b,contributor,3695
u/RickyRichard26,0x24881e056A896311Fd8a7A03ce197e61a6334918,contributor,3558
u/brbinsky,0xa142dfCcBf0B9186950a73531B26fd9a9D0a9633,contributor,3558
u/Andries-Pretorius,0xE27e196EA8fd9Ea172a48fC3B0731519790D6452,contributor,3421
u/Snoo_92843,0x65Fbaa1F5c7Cc72d3166843465109Bc7df7a2597,contributor,3421
u/korben2600,0x31793cF3ad9bD868C3569D10387bea93E9C2822b,contributor,3421
u/nobelcause,0x57855ca297ECB91EF1BE3CE1e74B9492CF50C69C,contributor,3148
u/Massive-Tension-1055,0xae3e0e714362Fe0012776312Eba649691561F413,contributor,3148
u/Cyber-Cafe,0xdB950096F33FE54759a2C62471D7Ce26e6316009,contributor,3011
u/Snowie_drop,0xfc2aBf2E25c0FDf1D4a6aF824E17CC91FFA92C89,contributor,3011
u/ethereumshield,0x168a0997dbD0c93627edf7E3Ce0e0d4b31fBB1C1,contributor,2737
u/Scholar2001,0xA36faC19b4AC60C0BecFF5f30f5F7D52aa3aA5aC,contributor,2737
u/002_timmy,0x70BA80d1F08289b1d73466Ac8Bd949e5B2AA8219,contributor,2463
u/Fantastic-Offer-9129,0x76cA18FB5A1c48BF38e47F2D8239f038bD884813,contributor,2189
u/PirateSKB,0xd5aD34CeE33bEF42e47B3eE90417aC1C6779477d,contributor,1916
u/Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,contributor,1916
u/Grim--Reaper-,0xfC7fC0b5A5a9277cBd917D37e0855564BCeDcA7f,contributor,1779
u/php_questions,0xb1888af730fB298d60be5726f3C06275851aAb1a,contributor,1779
u/MayorAnthonyWeiner,0x2CD9Db7F90ABDCD89d4559EF25F539c1ea1DCceC,contributor,1642
u/ghochumal,0xaFd2141A0DE3CE28d4E47ba0E7E94b1f8df02e52,contributor,1505
u/RayG1991,0x796F60CC634E9072FE0D702b05402Da5419Aaa0E,contributor,1505
u/stedgyson,0xe2dAf0e33492720d5Fc29749CDfbEe46b46B27cc,contributor,1505
u/daltadka911,0x244B99C038E960d7ca317368491d77D2b795cd29,contributor,1505
u/drauthlin,0x58EF897418fC1818CAf0376aA41bc705A06fF41D,contributor,1368
u/WeaselJCD,0x0b588BE805039Fa28CF4625281B6cE14635a5F9c,contributor,1368
u/rare1994,0xd1d0c56075B61cd28f62c3bd2b37647703319d6C,contributor,1368
u/Wonderful_Bad6531,0x823203809D31109e99F27092dE19F60a22DF61C5,contributor,1231
u/keatonatron,0x7c80435964Bde8071e1D3Df76Da870C2F03b44F2,contributor,1231
u/Interesting-Cap3040,0xc38503138395ec89fBFDD73aedb77d29bA1cD774,contributor,1231
u/MrBrew,0x23129A7F5DC33459697c1680DF6e0a51D149B715,contributor,1094
u/circleuranus,0xA32D5A833C11c702dF106519A0417386c7F9605c,contributor,1094
u/daototpyrc,0xD4F8fdD249ba41323880CefECEBca2Ab590D571F,contributor,958
u/Ch40440,0x8410926B0f5Ad6223343cD6C53C7cB33c3008A30,contributor,958
u/PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,contributor,958
u/j1mmie,0xBAe995278B1102CEb8E86d6eB87d5f0C1caa3986,contributor,958
u/Monster_Chief17,0xbCB5F95758Fee1A28C24a4C4F8473896F57f6a56,contributor,821
u/SusanForeman,0xd1297Fbc37295462322f28881DBD9a557d4317e0,contributor,821
u/geniusboy91,0x9B1d95c93ecd5ec23Bc883fa9899cFDA8e38779A,contributor,821
u/Atlasstorm,0xaD1388B8ea2617c8683B4797c67B396901d699De,contributor,821
u/PMme_ur_tiny_tits,0x8A0EeCb9E6b8eB920594AfCc8CD214Cb9e92562C,contributor,821
u/ineedmoney2023,0x9A49439f6677d8F7CF26E7D2d353989B506ffC7E,contributor,821
u/ETHBTCVET,0x8342D70dc085fa5D8E759F2bf4dE114fF46f81E9,contributor,821
u/Savi321,0x7eA45e32a4F75F79615e1C77fA017F2ac4fE66AB,contributor,821
u/LWKD,0x313Fa8a362d5c0C3d5c5F408F1703f9Cbb3b7516,contributor,821
u/Mtballer09,0x7d42f7CeB9D64B753D08b61fAc8478F53b16ee82,contributor,821
u/illram,0xbdF5D2E3375Dd61dd725F8f82b3b8b66004D67E0,contributor,821
u/flak0u,0x2236e0C655138Ab9156061cBf67A1c0e88aa28f7,contributor,821
u/Acidhoe,0x3048181b1ed56CE97ea4cFe2993c06b488D11fa6,contributor,684
u/shostakofiev,0x143884B56a50c2cE9a90c4029F339672a8dFc1AE,contributor,684
u/abcoathup,0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1,contributor,684
u/cee8719,0x76914F9ED1c3e647A627F81883434a19d08C6C9F,contributor,684
u/Disastrous_Cobbler13,0x1542c2006154387b7C62Abe190a880ACB3CA0eC3,contributor,684
u/whoyoufoo101,0x6E6641923Fe552933Da54AF7B03A02EbBdCC36d1,contributor,684
u/PeacefullyFighting,0xF05a8D44DaD70D9981D5db25688ABDeE6040926f,contributor,684
u/flygoing,0xEC3281124d4c2FCA8A88e3076C1E7749CfEcb7F2,contributor,547
u/kvlle,0x40466F27912FA7Bf818Fda16839ce2f20494339B,contributor,547
u/TripleReward,0x9E7105436F494938814E5a0bd9284C82c52f9766,contributor,547
u/ParadoxSebx,0x1094A1724093Cbd6ab5D9e5514A1910f1d1462c2,contributor,547
u/thorsamja,0x172C2289bfD1163f5903495d90A23dFe96351698,contributor,547
u/salty-bois,0xC29236dA2212f7589115a53FabcDeB1bfA03ddFE,contributor,547
u/Thatythat,0x8026Be0a070a094313e8515e0e3D81c5d3967449,contributor,547
u/beep_bop_boop_4,0x4B7C0Da1C299Ce824f55A0190Efb13663442FA2c,contributor,547
u/Homunculistic,0xd092769f5374Cdbf01C5547A85aCAfEEe9e8d41a,contributor,547
u/chuloreddit,0xa252bac173C53c0eDcdD2b589d1E3F2f1e972244,contributor,547
u/cumbersomecloud,0x713B5512Ece674D2B9fE0FA8B6676e6021fAe6CF,contributor,547
u/ParticularAtmosphere,0x72F22Afe6ea512396a392eE5C6e4eFBA613373c8,contributor,547
u/chucchinchilla,0x8D6eC6aBAfd2e5578d6F00584bB1F0492e702105,contributor,547
u/z6joker9,0x96c32AC9F3fCf1077C25453BF85a7af3276D84c0,contributor,547
u/Zeranor,0x9526818A8F5d997652c213A28CC532Cf6B709aa4,contributor,547
u/rootpl,0xEdc0321b407b165CF926BE3E77ecB6C791f731bA,contributor,410
u/trancephorm,0x062d3A310386c91b51Ab0EEb3A3eDBa5028DEaC1,contributor,410
u/offgridgecko,0x2496286BDB820d40C402802F828ae265b244188A,contributor,410
u/beingsubmitted,0xE5a91DC29A06EbB52f8e95302b31F56fB7B66B0c,contributor,410
u/GapingFartLocker,0x36D0741763CDB650865c863b7ee9BB62Fa8c6103,contributor,410
u/ProudBitcoiner,0xCB5087251aEE160ffaEdE3dC75C91B8002bd9F05,contributor,410
u/ghfsigiwaa,0x49155896F97660E6eA12170ab63BFD5822E796Da,contributor,410
u/Film54,0xFB4398669b66AEA13DF763F765A412611b73e933,contributor,410
u/sidmehra1992,0x8b8b367466CAD36cbbD3dde46682927371dFF630,contributor,410
u/vegasluna,0x19b9289b3429e2155D833E2EDBf0Df6CB3fA2fa6,contributor,410
u/inverses2,0x9DF52385D1a5B46d32665b6869D8eBbcF12Fc2b7,contributor,410
u/ismashugood,0x392319CD53fa7D2e9e738e1C66DF9929AaFd6168,contributor,273
u/AadamAtomic,0xe12F0d2977bD32835A7ad71398c02003E13b9C1b,contributor,273
u/evil_betty_,0x1A86440fD49a1e85C46c66ba64C46b98b0e3b6Ab,contributor,273
u/peppers_,0x32498e61176646Dee8DbC56f642bDa4cAc31AC6a,contributor,273
u/Allions1,0x27C1bEc62f02680b3A60B837A8139153D6eA2381,contributor,273
u/MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,contributor,273
u/LoganGyre,0x8289E32357f716d689578A1CE7382e16B108C3bF,contributor,273
u/energetic-dad,0xC67FA671B98D861A9c956c3DA8C570c977aC8c15,contributor,273
u/BimblyByte,0x626570aC98091f2dBC3a6761A4d775449B86e24d,contributor,273
u/Ruzhyo04,0xfb702e95Fa231C5509487a9E99156003985FdB9e,contributor,273
