username,blockchain_address,contributor_type,points
u/fishcalledbob,0xE52d66C0c9794862a9c7bc53DdFd2F3112607Fab,contributor,115148
u/illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,contributor,101982
u/Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,contributor,100164
u/MrThisThat,0xFC601d229a96a4994034b701275dac78803a70C1,contributor,99000
u/Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,contributor,88962
u/Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,contributor,77323
u/o_LUCIFER_o,0x551ff9235da502c518a353E1155CE1560A0D2005,contributor,53828
u/Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,contributor,53319
u/Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,contributor,45826
u/coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,contributor,45608
u/Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,contributor,43790
u/Wonderful_Bad6531,0x823203809D31109e99F27092dE19F60a22DF61C5,contributor,37607
u/Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,contributor,37316
u/aggressive_healer,0x7872d3a175642c25A048957a2bf7baE61E4d3CCb,contributor,36588
u/Malixshak,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f,contributor,35279
u/LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,contributor,29969
u/Yinyangkarma060910,0x0eAfDE159A21Ca316e1fA7f64e7755e15B9C1349,contributor,27641
u/whodontloveboobs,0x133299c1c5bc0C64eb1365444031fDa1161E0F58,contributor,27568
u/Soaring_Eagle590,0x35162A2ed27a8E2dC96471AB6Fb63e0Fd5058d46,contributor,26695
u/Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,contributor,21240
u/Scholar2001,0xA36faC19b4AC60C0BecFF5f30f5F7D52aa3aA5aC,contributor,20949
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,contributor,19567
