username,blockchain_address,contributor_type,points
u/Friendly-Airline2426,0xCA7faf6c0441049e2F449fbA86B77587987A21Fe,contributor,180561
u/Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,contributor,127270
u/Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,contributor,97020
u/illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,contributor,87302
u/Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,contributor,68964
u/Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,contributor,68337
u/Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,contributor,68337
u/frogiscat,0x21Fad3D263e0fE8380C7EDbE8d9432Caf1fAd105,contributor,61911
u/greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,contributor,56425
u/MrThisThat,0xFC601d229a96a4994034b701275dac78803a70C1,contributor,53134
u/MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,contributor,52193
u/o_LUCIFER_o,0x551ff9235da502c518a353E1155CE1560A0D2005,contributor,52036
u/Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,contributor,46080
u/coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,contributor,42946
u/Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,contributor,37460
u/LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,contributor,33541
u/Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,contributor,31974
u/cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,contributor,29309
u/cryptbunks,0x8939F06ef2b75B5082767Ca6b0dAa2C0Fc1A82eE,contributor,25234
u/420weedscopes,0x4d22f2d09f9E49B014E3a1AFC4f903a25a8c17FD,contributor,25234
u/ReitHodlr,0x1b036f17F5DcB000005e14773f8636b4dde76e39,contributor,24451
u/economist_kinda,0x09e8a60Fa9a4EeeCfe2f4eC2D08ddA56307d48C9,contributor,23824
u/Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,contributor,20689
u/Vivarevo,0x8a945Ff7dBC68D7DEFeA264c9B838F6824671c01,contributor,14733
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,moderator,14025
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,moderator,14025
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,moderator,14025
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,moderator,14025
u/nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,moderator,14025
u/carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,moderator,14025
u/rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,moderator,14025
u/kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,moderator,14025
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,moderator,14025
u/wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,contributor,13322
u/Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,contributor,13009
u/tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,contributor,12382
u/Malixshak,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f,contributor,12225
u/-0-O-,0xD549A42b5dd6E06d6145ba65F99df4a0f282AdEf,contributor,11598
u/Icy-Profile-1655,0xc06479D09b3DE98Df54c77150075c5df38996138,contributor,11441
u/RickyRichard26,0x24881e056A896311Fd8a7A03ce197e61a6334918,contributor,11285
u/trancephorm,0x062d3A310386c91b51Ab0EEb3A3eDBa5028DEaC1,contributor,11285
u/Kindly-Wolf6919,0xEca23ebdfDf663d499891a833D22956a6f65DFA2,contributor,10501
u/ALiteralHamSandwich,0x5f9D94CC0071aCaF471Ec711143085E0DCdf453a,contributor,10501
u/nzubemush,0x49240B844ebf349B84e0626dC9d6521eBd1F4379,contributor,10344
u/root88,0xd12337B22b6C393edcCF8Db2bdcAA7B9839a257e,contributor,9717
u/Dr_Tacopus,0xCb064B4Db662344101CBE52ef756998336bAfd88,contributor,9717
u/eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,contributor,8463
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,contributor,8150
u/whodontloveboobs,0x133299c1c5bc0C64eb1365444031fDa1161E0F58,contributor,7836
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,contributor,7366
u/Soaring_Eagle590,0x35162A2ed27a8E2dC96471AB6Fb63e0Fd5058d46,contributor,7053
u/Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,contributor,7053
u/Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,contributor,6582
u/thecryptopile,0xFe980b1063c13d146E7BEA41Ab2fA9B98aeA3594,contributor,6112
u/FunExpression1858,0x7d982fd753a8F235f46DD2A165641A7293cAf08C,contributor,5956
u/Arafel_Electronics,0xd87c138715649Aab580069F24e3716CC56A51C43,contributor,5485
u/brummettdane03,0x1A6641417914C3a651b394B39741DEf8E3cb41c7,contributor,5329
u/TheNano100,0x3A11c76440655D4DdFF16a4aDAbBa15E98E89786,contributor,5015
u/altrullion98,0x464D1C4Fe5Ae7D9C3C48354B857621b17bcCae5C,contributor,4858
u/clean_cut89,0xA7849028c7f37B092BA2CC13365F72A2AF9f0880,contributor,4702
u/pythonskynet,0xe7F3c9746282d534f8C90fD410624333e23AC565,contributor,4388
u/Mtballer09,0x7d42f7CeB9D64B753D08b61fAc8478F53b16ee82,contributor,4388
u/PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,contributor,4388
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,contributor,4388
u/This_Red_Apple,0x0A2C343fc58354848508AB4A4c3AB41dFd39a793,contributor,4388
u/salty-bois,0xC29236dA2212f7589115a53FabcDeB1bfA03ddFE,contributor,4075
u/PirateSKB,0xd5aD34CeE33bEF42e47B3eE90417aC1C6779477d,contributor,4075
u/diarpiiiii,0x0497c1f8C4b2A6acEC4E8b618e6D84F5aE11C847,contributor,3604
u/comfyggs,0xe4C120ca4D1245292918395426E9C66Fb12e10D0,contributor,3448
u/Scholar2001,0xA36faC19b4AC60C0BecFF5f30f5F7D52aa3aA5aC,contributor,3448
u/SusanForeman,0xd1297Fbc37295462322f28881DBD9a557d4317e0,contributor,3448
u/ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,contributor,3448
u/Savi321,0x7eA45e32a4F75F79615e1C77fA017F2ac4fE66AB,contributor,3134
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,contributor,2978
u/Ropex007,0x9ae5BD9e66a71635E8a1a9feb210AE2851d2A0ae,contributor,2821
u/Film54,0xFB4398669b66AEA13DF763F765A412611b73e933,contributor,2821
u/Giga79,0xA50d3EE17c994864F88a2acc24303860Ebc81F50,contributor,2664
u/raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,contributor,2664
u/Apalapa,0x3FBAa4462ab2F1A60b69BB9370432bEe5e768045,contributor,2664
u/Q_MB,0x464Def4C3C271aCa758b44Fdaf724d58a74b1933,contributor,2507
u/shostakofiev,0x143884B56a50c2cE9a90c4029F339672a8dFc1AE,contributor,2351
u/aggressive_healer,0x7872d3a175642c25A048957a2bf7baE61E4d3CCb,contributor,2351
u/px403,0x7ab874Eeef0169ADA0d225E9801A3FfFfa26aAC3,contributor,2351
u/prawn108,0x6Ee4ECbAc69a95EaDb82d82138c48a2cdEf1BE86,contributor,2194
u/ethereumshield,0x168a0997dbD0c93627edf7E3Ce0e0d4b31fBB1C1,contributor,2194
u/sidmehra1992,0x8b8b367466CAD36cbbD3dde46682927371dFF630,contributor,2194
u/ThenOwl9,0xC9d48fDAF3Dde28B23c5151B690b0438EdF82BC2,contributor,2037
u/spacsandspacs,0xE0ae9458499f5F44F561b5DA6D0cd3355F9CE2Bf,contributor,1880
u/MrBrew,0x23129A7F5DC33459697c1680DF6e0a51D149B715,contributor,1724
u/xSciFix,0x03380b067Bf317C68f3797a2B1D7b7E5c063c922,contributor,1567
u/MiscoloredFruit,0x66227515B534Ae69F51a5D269F5d23340eA7b608,contributor,1410
u/ineedmoney2023,0x9A49439f6677d8F7CF26E7D2d353989B506ffC7E,contributor,1410
u/JVHooligan,0x7B42384a6faE59cc0262CC70fCB85E8e4bd88eDD,contributor,1253
u/TheElusiveFox,0x577a9E28fBB2e0b41b94fD96F33B1dDD308259E3,contributor,1253
u/Ruzhyo04,0xfb702e95Fa231C5509487a9E99156003985FdB9e,contributor,1253
u/bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,contributor,1253
u/mrjune2040,0xa433d3e9B1390e5691Ace268484b8Ac23120Fad4,contributor,1097
u/kryptoNoob69420,0xbbE9971ea067F6d728a9eD61BB879b7C978a3F15,contributor,1097
u/Sceptz,0x40b28785f8a0CF3BD1918cFe81B1C4373c18c246,contributor,1097
u/daltadka911,0x244B99C038E960d7ca317368491d77D2b795cd29,contributor,1097
u/ForeignStylists,0x8CBFDC36a9e939aA7CfA7a8d60eE9A2e7608830d,contributor,1097
u/markhealey,0x5c9E52488a152980cBb5852Be862a96CbeC16130,contributor,940
u/DaBTCStd10yrs,0x17a6C57893652b605F57bB45b34C931B9381c72B,contributor,940
u/DMugre,0x20cA8b4fa7A1581c84FA73638bB93a8f203124f3,contributor,940
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,contributor,940
u/qsandc,0x2b49203cE94Ac5abD2Fa29a40e6166e519f2c46F,contributor,940
u/edL222,0xE543dDFB260E829c24f24849491Af57FC9Aca2A3,contributor,940
u/MindlessBadger281,0x969659c7352dB0d99ce27D91BD939470de8d9bE6,contributor,940
u/na3than,0x88c9Af16a88487e43F3A8fDbf1580Ab6399FcDFF,contributor,940
u/RealLeoPat,0x613fF14bF204127bc672Ddc8A4480FCf5c6D9F99,contributor,783
u/Yinyangkarma060910,0x0eAfDE159A21Ca316e1fA7f64e7755e15B9C1349,contributor,783
u/SecondTimeQuitting,0xb0cE83158AB1B9A6244BD72d6124b8D0B805f7D9,contributor,783
u/Monster_Chief17,0xbCB5F95758Fee1A28C24a4C4F8473896F57f6a56,contributor,783
u/angyts,0x27B04C7bB686d36f69D9A0bc83F50db316337748,contributor,783
u/nobelcause,0x57855ca297ECB91EF1BE3CE1e74B9492CF50C69C,contributor,783
u/Acidhoe,0x3048181b1ed56CE97ea4cFe2993c06b488D11fa6,contributor,783
u/DrXaos,0xB1d5bBe4734f9Eb4F20632f75385D882Ac540971,contributor,783
u/kvlle,0x40466F27912FA7Bf818Fda16839ce2f20494339B,contributor,626
u/Any_Chipmunk_859,0x3b9e9aeDFd86040Def3385aA322BBec1e0d38366,contributor,626
u/Yoldark,0x1542cBd59A301e8b8bceD150c752e5a49D196F04,contributor,626
u/rundown03,0x430006f4127ee2f4edb269D6a01BA1eDBdF237C3,contributor,626
u/Uncomfortable_Newt_,0x5AAF7c64E58760d200E610AB6549fAC419a02D0F,contributor,626
u/kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,contributor,626
u/CapnPratt,0x6b82A00010676e509e520fF4594eeb2005dE93De,contributor,626
u/rayQuGR,0x2CF036f1Fe2833a344E43d9Da9372667F084d5A5,contributor,470
u/Wonderful_Bad6531,0x823203809D31109e99F27092dE19F60a22DF61C5,contributor,470
u/Massive-Tension-1055,0xae3e0e714362Fe0012776312Eba649691561F413,contributor,470
u/MemeyCurmudgeon,0x7f25555A0C85B53Cb8934960D0e4ae2DF65CeCaB,contributor,470
u/Cyber-Cafe,0xdB950096F33FE54759a2C62471D7Ce26e6316009,contributor,470
u/Aguaskeepartdeux,0x8F8E6bb6D20fB56a6988F91E60cf8b5437CC052f,contributor,470
u/stedgyson,0xe2dAf0e33492720d5Fc29749CDfbEe46b46B27cc,contributor,470
u/abcoathup,0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1,contributor,470
u/flak0u,0x2236e0C655138Ab9156061cBf67A1c0e88aa28f7,contributor,470
u/inverses2,0x9DF52385D1a5B46d32665b6869D8eBbcF12Fc2b7,contributor,470
u/DigitalStefan,0x1f4Be4af0996848401a1b107f0237BdaC1F09e9a,contributor,470
u/g0rnex,0x39E5E7E8cf7c1917814446815783e77cbda8d2c7,contributor,470
u/chuloreddit,0xa252bac173C53c0eDcdD2b589d1E3F2f1e972244,contributor,470
u/Ch40440,0x8410926B0f5Ad6223343cD6C53C7cB33c3008A30,contributor,470
u/Common-Fisherman8269,0x625fd9281a351318eF8F0a1E9737f27b556dcA9f,contributor,313
u/rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,contributor,313
u/megselepgeci,0xe0ADe6c4900d80Abd8cc8C462F8F9F586b5Cd065,contributor,313
u/rare1994,0xd1d0c56075B61cd28f62c3bd2b37647703319d6C,contributor,313
u/J-E-S-S-E-,0x494464d82bDB05114C837b01C71E110e3eF93c67,contributor,313
u/whoyoufoo101,0x6E6641923Fe552933Da54AF7B03A02EbBdCC36d1,contributor,313
u/Mrramirez44,0x803Fa6b110d013ff4D9b2d7A081Edd8e4F10C3bd,contributor,313
u/BigDeezerrr,0x9eA0b418E2ece314C96AdA4353999601902DE6C1,contributor,313
u/Littlebig4667,0x9D20bD90CD8b496b96F180AE4D505599169c2287,contributor,313
u/roejola,0x6098734a6206d3d4AAb2f01973d842A8828CFFCA,contributor,313
u/Lee911123,0x21E024dCE5Ed2ab9951B3735151e351a7b6cE2C7,contributor,313
u/CookieFactory,0xEaa436Fb85b0b800eE833836dc9a66efE3A2e96c,contributor,313
u/Most_Being_4002,0x687B1FB763b9956500F18c5611D29eFC7B9c163A,contributor,313
u/Kotek81,0x689E700EaF54B4041D0a52FF6fae89d6146dB412,contributor,156
u/skapaneas,0x66cb1a26a515aAF2c4BBF20ea4bEd2499742D7ED,contributor,156
u/cutoffs89,0x602D1AD7395DAf8c1A07Ff8d8d82130532EA7DF8,contributor,156
u/ECore,0x0748e47BF9f34893B6963a1E333E64b0e7Ddc38F,contributor,156
u/j1mmie,0xBAe995278B1102CEb8E86d6eB87d5f0C1caa3986,contributor,156
u/keatonatron,0x7c80435964Bde8071e1D3Df76Da870C2F03b44F2,contributor,156
u/datasmash,0x53eFe16CC25D650eF6f6D986cb4F3308B6E51dC8,contributor,156
u/Gubbie99,0xaF29FACA9278f3FE68BaDd745BB7f5b1538A17Ff,contributor,156
u/ghfsigiwaa,0x49155896F97660E6eA12170ab63BFD5822E796Da,contributor,156
u/oldskool47,0x730A2995814d1EecE46a7b71c1cfd1E46554247c,contributor,156
u/vegasluna,0x19b9289b3429e2155D833E2EDBf0Df6CB3fA2fa6,contributor,156
u/WeaselJCD,0x0b588BE805039Fa28CF4625281B6cE14635a5F9c,contributor,156
u/1-760-706-7425,0xD7bBD960731854EF2De33242205738968430b6bE,contributor,156
u/hquer,0x432B25711BEC4429D7F8FE64eDB6fD13741203Ba,contributor,156
u/No_Insurance6064,0x335C99c5e8d19fB7bC956C7a7A73A117d03a3c54,contributor,156
u/betweenthebars34,0xFF41dE2d6D1662EB05e1417228aE04e79Ee3f3cf,contributor,156
u/BimblyByte,0x626570aC98091f2dBC3a6761A4d775449B86e24d,contributor,156
