username,blockchain_address,contributor_type,points
u/Friendly-Airline2426,0xCA7faf6c0441049e2F449fbA86B77587987A21Fe,contributor,200639
u/Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,contributor,117515
u/Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,contributor,99221
u/MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,contributor,97319
u/illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,contributor,87221
u/Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,contributor,83855
u/Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,contributor,76538
u/frogiscat,0x21Fad3D263e0fE8380C7EDbE8d9432Caf1fAd105,contributor,74489
u/o_LUCIFER_o,0x551ff9235da502c518a353E1155CE1560A0D2005,contributor,60147
u/Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,contributor,59855
u/Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,contributor,50781
u/Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,contributor,46245
u/ReitHodlr,0x1b036f17F5DcB000005e14773f8636b4dde76e39,contributor,45805
u/cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,contributor,45220
u/Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,contributor,39805
u/greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,contributor,37171
u/Kindly-Wolf6919,0xEca23ebdfDf663d499891a833D22956a6f65DFA2,contributor,32342
u/LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,contributor,30000
u/economist_kinda,0x09e8a60Fa9a4EeeCfe2f4eC2D08ddA56307d48C9,contributor,25903
u/coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,contributor,24732
u/PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,contributor,20780
u/eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,contributor,17854
u/wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,contributor,16829
