username,blockchain_address,contributor_type,points
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,contributor,168512
u/Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,contributor,137752
u/Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,contributor,130229
u/JackkT89,0x92ddf53Bb00796626faC3ebA2EaC7952792616cb,contributor,91945
u/coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,contributor,84955
u/SakuraNinja12,0x18cB7b1163703459515c201fA57C0B29F9BeB4Ed,contributor,74968
u/cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,contributor,64781
u/illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,contributor,62451
u/raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,contributor,56725
u/Imaginary-Adagio2231,0x99f5EeEBbc52b763C282f6d9350954C229fE458f,contributor,55061
u/Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,contributor,39880
u/greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,contributor,35819
u/SauceMaster145,0xF79fBA163e9e5ccF83fc601552B1df880b782892,contributor,35020
u/Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,contributor,32623
u/MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,contributor,31558
u/eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,contributor,31159
u/JVHooligan,0x7B42384a6faE59cc0262CC70fCB85E8e4bd88eDD,contributor,30959
u/Icy-Order-3200,0xdbc54173874eBc2D30a6ba3DAF971Cb3A0B0C3ac,contributor,29028
u/Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,contributor,23036
u/cryptbunks,0x8939F06ef2b75B5082767Ca6b0dAa2C0Fc1A82eE,contributor,19707
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,moderator,18700
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,moderator,18700
u/kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,moderator,18700
u/carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,moderator,18700
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,moderator,18700
u/rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,moderator,18700
u/nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,moderator,18700
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,moderator,18700
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,moderator,18700
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,contributor,18509
u/bigmammoth2310,0x38F6d05EF598C76D183Cf25e296687fd74400d38,contributor,16245
u/JeffyJackson101,0xFB0540545D81E964d9c3da114233501bC110Ed58,contributor,14580
u/SxQuadro,0xC8D7219527E1fe9f938D66fF13bCbc8A5b04351e,contributor,14048
u/Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,contributor,13848
u/TommyBleau,0xA7CB184218cD1f644627cF8C057CEC5781C28450,contributor,13715
u/Targerian-King,0xB35b44068c106bdf0cB447B699D52100036Cb63D,contributor,12583
u/Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,contributor,11717
u/FunExpression1858,0x7d982fd753a8F235f46DD2A165641A7293cAf08C,contributor,11451
u/Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,contributor,11052
u/Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,contributor,10652
u/PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,contributor,10652
u/LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,contributor,10253
u/mybed54,0x6ccbEa066517892Eb3e9547512Aa1110eEFefa1a,contributor,10053
u/ETHWarrior0,0xf2B70c5D0AD665aE4038c02F142a0bE4D3143A5A,contributor,9520
u/Vivarevo,0x8a945Ff7dBC68D7DEFeA264c9B838F6824671c01,contributor,8588
u/tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,contributor,8455
u/Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,contributor,7323
u/LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,contributor,7190
u/imjakedaniels,0xD7Fa72199Dd1B5F281Bc3D923918ebE56A6bb07b,contributor,7123
u/wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,contributor,7123
u/ghfsigiwaa,0x49155896F97660E6eA12170ab63BFD5822E796Da,contributor,6724
u/ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,contributor,6125
u/666CryptoGod420,0x7E73E49E524A95dC0E1Ba9355Dc2BdE4Db443580,contributor,6125
u/bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,contributor,6125
u/gautam_777,0xBc4dffA5d9747Fe45F32F6B6c465a49052BFe4BB,contributor,5725
u/sartoshi_nft,0xBe822892cAcD6c7E4d312303e3caaf79EAE2A7B7,contributor,5326
u/ccmanagement,0x8fC45D41D38E892552951C0cAD384359E9D60496,contributor,5060
u/PM_ME_YOUR_HONEY,0xB662E863aCAefDEE1C80Ef79590e1983981C3783,contributor,4860
u/Aguaskeepartdeux,0x8F8E6bb6D20fB56a6988F91E60cf8b5437CC052f,contributor,4727
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,contributor,4727
u/Crypto_Gaming_,0x58edD08A8f51ceA4c0faF176c71ab8C7c40ba1bc,contributor,4727
u/Introvertive_Crawler,0x99f0fCb2e944f189cF9d9084990129Bba7C96579,contributor,4527
u/Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,contributor,4527
u/Arafel_Electronics,0xd87c138715649Aab580069F24e3716CC56A51C43,contributor,4527
u/Lancer37,0xBdC0853A3AdB98747F8593829917A9B845669DD9,contributor,4327
u/lunar2solar,0xC70f0a9da5b08E92CAd316E5D65ffF328B7D2f8b,contributor,4127
u/ethereumshield,0x168a0997dbD0c93627edf7E3Ce0e0d4b31fBB1C1,contributor,4061
u/ReitHodlr,0x1b036f17F5DcB000005e14773f8636b4dde76e39,contributor,3994
u/sidmehra1992,0x8b8b367466CAD36cbbD3dde46682927371dFF630,contributor,3928
u/salty-bois,0xC29236dA2212f7589115a53FabcDeB1bfA03ddFE,contributor,3795
u/towjamb,0x6AA08E1E39958055836F31906C6ff8c072e8C0F3,contributor,3395
u/thecryptopile,0xFe980b1063c13d146E7BEA41Ab2fA9B98aeA3594,contributor,3328
u/Grim--Reaper-,0xfC7fC0b5A5a9277cBd917D37e0855564BCeDcA7f,contributor,3195
u/stedgyson,0xe2dAf0e33492720d5Fc29749CDfbEe46b46B27cc,contributor,3129
u/-Krakatau-,0xDDcdfcAc57615A66f30E668f73F821eeB6aEf6c1,contributor,3129
u/scuczu,0xfb11Bb4cE13dDA7e23E1D2720D83e1c549089CE2,contributor,2862
u/Top_Performance_732,0x88B8073739F867126C96F392512dDB34EF3A350E,contributor,2796
u/Shillofnoone,0x69Ab4786877947B84F5A2F85A0a8A9b4700950e8,contributor,2729
u/NoDesinformatziya,0xc4C87313e79d7d7f91Ae75692b5D1aeD253B118a,contributor,2530
u/RayG1991,0x796F60CC634E9072FE0D702b05402Da5419Aaa0E,contributor,2530
u/jersey-city-park,0xdcF7d587E6E96Fb58ed9Ff46bb040f73040Cbc6A,contributor,2530
u/JoJuiceboi,0x943e03AB9d73Eb8503EB30aD92E38b387e496A40,contributor,2463
u/root88,0xd12337B22b6C393edcCF8Db2bdcAA7B9839a257e,contributor,2330
u/IamAFlaw,0x92101D5131D2b8453E3F71077b78331907a52BDC,contributor,2330
u/Seatdestroyer,0x56Bf2b7414b3d26191b965D53Aba1CD768df860E,contributor,2330
u/kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,contributor,2263
u/taimapanda,0x470f7b7eAaF7e74FE653d220Beec22bBAbAc9c5e,contributor,2263
u/comfyggs,0xe4C120ca4D1245292918395426E9C66Fb12e10D0,contributor,2197
u/ECore,0x0748e47BF9f34893B6963a1E333E64b0e7Ddc38F,contributor,2063
u/hippyeatingchippy,0x75632D5D10045B4527aD7a9F6E9E340Ca208C8f2,contributor,2063
u/RightRaisin,0x8ABf3FC0c7fd9625D0ff6FFFDe4574C6273eFC3A,contributor,2063
u/Dreampopgazer,0x156176bd9A30a8f3B2bf6FA25c733CA6426ed639,contributor,2063
u/RoyalDefinition6798,0xCbd849Ed6AeE6E1362fC5fdd796614dCA392E877,contributor,2063
u/ismashugood,0x392319CD53fa7D2e9e738e1C66DF9929AaFd6168,contributor,1930
u/TrashJonny,0xdeBFfC0A510D8630aCDD83411Fde31eed8Cf5d3D,contributor,1797
u/420weedscopes,0x4d22f2d09f9E49B014E3a1AFC4f903a25a8c17FD,contributor,1797
u/Eru_Iluvatarh,0xb8F82344F9708E0B59130cc961714Fd219cB7D98,contributor,1664
u/NormanAnonymous,0xe671283edF3793e55A3A6531Ba8AA7D5B0Df0653,contributor,1664
u/sporobolus_sp,0xe897886282C5FF3728F8c1e7c31688B85D04bD3f,contributor,1664
u/mytwm,0xb32A7a7de0fA362BD52e111D51A119f095b42EE3,contributor,1464
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,contributor,1398
u/GapingFartLocker,0x36D0741763CDB650865c863b7ee9BB62Fa8c6103,contributor,1398
u/CartographerWorth649,0xe00A7342f3424018B83Fb65eeCfe171888d142eA,contributor,1398
u/deltavictory,0xD1A7c1ffD97e8fB1B7FD55c62C8b6a4a3bA45de4,contributor,1265
u/BimblyByte,0x626570aC98091f2dBC3a6761A4d775449B86e24d,contributor,1265
u/Karavusk,0xec1a7E731035F4A561734A2313BB35EBb04445A2,contributor,1265
u/BaconRaven,0xDF3D3BE6a15B9b1004b4cb8B1aa862388B51F137,contributor,1265
u/DrXaos,0xB1d5bBe4734f9Eb4F20632f75385D882Ac540971,contributor,1265
u/d_d0g,0x83bE84249259865b3e5F1efC63a1B97c1B04cAEc,contributor,1198
u/steamyp,0x268d91CAA7B25eC0Fe3D84bca24d5230a6aAF1d1,contributor,1198
u/RogerWilco357,0x3Ac12a776685aD358E9454De0C657C1C4C8Bfb99,contributor,1198
u/Cheese6260,0x15521B5cDe0D580Cd4F39c64e7cD51f8C03Be033,contributor,1131
u/fractionofawhole,0xc25c912Efce700Ad1042CFaCaeF145195217BDC8,contributor,1131
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,contributor,1131
u/ETHBTCVET,0x8342D70dc085fa5D8E759F2bf4dE114fF46f81E9,contributor,1131
u/fulento42,0xa1523c475292067C102C6D5C68c4c194B8f264C2,contributor,1131
