username,blockchain_address,contributor_type,points
u/Icy-Order-3200,0xdbc54173874eBc2D30a6ba3DAF971Cb3A0B0C3ac,contributor,83667
u/Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,contributor,79112
u/Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,contributor,54569
u/Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,contributor,52292
u/iantonio_007,0x21eE685f79f67F9c459e4a56d1d2A8722cd926FF,contributor,51873
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,contributor,50758
u/SauceMaster145,0xF79fBA163e9e5ccF83fc601552B1df880b782892,contributor,45645
u/Past-Association9320,0x12713A2126ec8D79E7E2e09105BFdD1c86eC59E4,contributor,44622
u/Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,contributor,43181
u/Reverbed-Berry,0xB421607d7CF8567FDB9adc1b609806d89620f502,contributor,37603
u/UnknownWhereabout,0xe9D5d04b901B96F79E0dD11c8dDd13a92Dc09526,contributor,37138
u/Junior_Long_257,0xb26dBd3EFDee329162C8b3b18bB7B5B11452ea7E,contributor,35512
u/moneytrzeping2,0xb9736BdC156a58E65DDca5D9293c7028780addB2,contributor,35047
u/AnecdotallyImpressiv,0x720E18b940Ab3F35ED85Cb964BEA25410ac545f1,contributor,34117
u/merely_inappropriate,0x547e590DC3DEdf8e90d5D5A42F2acee7b7854775,contributor,33466
u/jebaczmatek12,0x8e68e9040B4d17948c4A92F15d9759C4bB98Bb40,contributor,32537
u/wakacyjnepierdolenie,0xfB83350220bE8b6a7e1AF2d100a9F8260eDF3e82,contributor,31607
u/RightRaisin,0x8ABf3FC0c7fd9625D0ff6FFFDe4574C6273eFC3A,contributor,31468
u/Odd_Mulberry_9813,0xf214d52D850E3Eb7aa2c077d02CAc821D2579F6d,contributor,30213
u/PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,contributor,28725
u/Big-Ad4782,0xd15D2B702abE003d1c7E1FB340d692b9cb229ab6,contributor,26773
u/XpensiveLove,0x71C0627B3a51B126E661fbf7Cbf6953016BCCA3D,contributor,24402
u/TheRock_97,0xfd91efB5990DCd90588ECA99f9C4b8a9386B3C85,contributor,24170
u/LatestHuckleby,0xa8749a1888bbc232cdd8ca9F1a41c9C2d0Ba909F,contributor,23798
u/raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,contributor,23194
u/Desperate_Day_8813,0x759cFA2dC906E369fF434F6e15d2b9352c68a34f,contributor,22869
u/LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,contributor,22822
u/Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,contributor,21242
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,moderator,18700
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,moderator,18700
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,moderator,18700
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,moderator,18700
u/carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,moderator,18700
u/nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,moderator,18700
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,moderator,18700
u/kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,moderator,18700
u/rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,moderator,18700
u/LiteralNumnut1,0x13E49C5291FF05fE07b2d8B8960bB0A2570964Ef,contributor,18592
u/tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,contributor,18592
u/maverick950,0x637667667Dd8Ce90eb3eb758BAb23B8d8C0289DD,contributor,18034
u/JeffyJackson101,0xFB0540545D81E964d9c3da114233501bC110Ed58,contributor,17895
u/FunExpression1858,0x7d982fd753a8F235f46DD2A165641A7293cAf08C,contributor,17709
u/alexo12,0x51502Abf396Dc1CF3DF067bdD8a994399543e714,contributor,17384
u/SwingContent6806,0x58F1788eE66AcD09A00D039229bf25678ba04c84,contributor,17337
u/Entire_Tree5894,0x5F0c47B2eccecbBE3d642528Bed5eaeeE60a2800,contributor,17058
u/The_Nutcrack,0x0B3AB5A8d926d07275291c074225f258d00B4F08,contributor,16501
