username,blockchain_address,contributor_type,points
u/MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,contributor,180046
u/Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,contributor,100340
u/fishcalledbob,0xE52d66C0c9794862a9c7bc53DdFd2F3112607Fab,contributor,84037
u/Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,contributor,81674
u/Malixshak,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f,contributor,67576
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,contributor,63323
u/coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,contributor,61590
u/eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,contributor,56786
u/Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,contributor,55211
u/raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,contributor,55132
u/economist_kinda,0x09e8a60Fa9a4EeeCfe2f4eC2D08ddA56307d48C9,contributor,53557
u/LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,contributor,50091
u/illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,contributor,49461
u/Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,contributor,43160
u/ethereumshield,0x168a0997dbD0c93627edf7E3Ce0e0d4b31fBB1C1,contributor,40404
u/greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,contributor,40089
u/Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,contributor,33473
u/bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,contributor,33000
u/Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,contributor,32685
u/Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,contributor,31031
u/cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,contributor,30559
u/Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,contributor,30086
u/spacsandspacs,0xE0ae9458499f5F44F561b5DA6D0cd3355F9CE2Bf,contributor,21737
u/Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,contributor,20241
