username,blockchain_address,contributor_type,points
u/Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,contributor,187877
u/fishcalledbob,0xE52d66C0c9794862a9c7bc53DdFd2F3112607Fab,contributor,132394
u/Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,contributor,103972
u/LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,contributor,101884
u/MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,contributor,94256
u/coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,contributor,63291
u/greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,contributor,61293
u/bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,contributor,60022
u/Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,contributor,55936
u/cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,contributor,53757
u/Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,contributor,50488
u/Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,contributor,43041
u/raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,contributor,42133
u/Seatdestroyer,0x56Bf2b7414b3d26191b965D53Aba1CD768df860E,contributor,42043
u/0xholdthedoor,0x211D893F873C5e7e290bDCCC9bA6a00f4B8eBA20,contributor,37139
u/Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,contributor,34142
u/Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,contributor,29965
u/bmahbub,0xd8cEf81f712F0b7823Ed444DC4169F0770baD48E,contributor,27968
u/tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,contributor,22429
u/norrissifford8474,0xE1408f0dDEdd8846A7Ef33b2885e8c5b4E6721E1,contributor,21066
u/eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,contributor,20249
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,moderator,18700
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,moderator,18700
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,moderator,18700
